"x" "y"
16 25
17 25
18 25
13 24
14 24
15 24
16 24
17 24
18 24
11 23
12 23
13 23
14 23
15 23
16 23
17 23
18 23
11 22
12 22
13 22
14 22
15 22
18 22
19 22
11 21
12 21
13 21
18 21
19 21
10 20
11 20
12 20
18 20
19 20
10 19
11 19
12 19
18 19
19 19
10 18
11 18
18 18
19 18
10 17
11 17
18 17
19 17
10 16
11 16
18 16
19 16
9 15
10 15
11 15
18 15
19 15
9 14
10 14
11 14
18 14
19 14
9 13
10 13
11 13
18 13
19 13
9 12
10 12
11 12
18 12
19 12
9 11
10 11
11 11
17 11
18 11
19 11
10 10
11 10
12 10
16 10
17 10
18 10
19 10
10 9
11 9
12 9
13 9
15 9
16 9
17 9
18 9
19 9
10 8
11 8
12 8
13 8
14 8
15 8
16 8
17 8
18 8
11 7
12 7
13 7
14 7
15 7
16 7
17 7
11 6
12 6
13 6
14 6
15 6
16 6
