"x" "y"
10 25
11 25
12 25
13 25
9 24
10 24
11 24
12 24
13 24
14 24
15 24
16 24
8 23
9 23
10 23
11 23
13 23
14 23
15 23
16 23
17 23
8 22
9 22
10 22
11 22
13 22
14 22
15 22
16 22
17 22
18 22
19 22
7 21
8 21
9 21
10 21
16 21
17 21
18 21
19 21
20 21
7 20
8 20
9 20
10 20
17 20
18 20
19 20
20 20
21 20
7 19
8 19
9 19
18 19
19 19
20 19
21 19
7 18
8 18
9 18
19 18
20 18
21 18
22 18
6 17
7 17
8 17
20 17
21 17
22 17
6 16
7 16
8 16
20 16
21 16
22 16
23 16
5 15
6 15
7 15
8 15
21 15
22 15
23 15
5 14
6 14
7 14
8 14
21 14
22 14
23 14
6 13
7 13
8 13
21 13
22 13
23 13
6 12
7 12
8 12
21 12
22 12
23 12
6 11
7 11
8 11
20 11
21 11
22 11
23 11
6 10
7 10
8 10
9 10
19 10
20 10
21 10
22 10
23 10
7 9
8 9
9 9
10 9
18 9
19 9
20 9
21 9
22 9
7 8
8 8
9 8
10 8
11 8
12 8
13 8
14 8
15 8
16 8
17 8
18 8
19 8
20 8
21 8
8 7
9 7
10 7
11 7
12 7
13 7
14 7
15 7
16 7
17 7
18 7
19 7
20 7
9 6
10 6
11 6
12 6
13 6
14 6
15 6
16 6
17 6
18 6
19 6
