"x" "y"
13 25
14 25
15 25
16 25
12 24
13 24
14 24
15 24
16 24
9 23
10 23
11 23
12 23
13 23
14 23
15 23
16 23
8 22
9 22
10 22
11 22
12 22
13 22
14 22
15 22
16 22
7 21
8 21
9 21
10 21
11 21
12 21
15 21
16 21
6 20
7 20
8 20
9 20
10 20
11 20
12 20
16 20
17 20
18 20
19 20
6 19
7 19
8 19
9 19
10 19
16 19
17 19
18 19
19 19
20 19
21 19
5 18
6 18
7 18
8 18
9 18
10 18
17 18
18 18
19 18
20 18
21 18
22 18
5 17
6 17
7 17
8 17
19 17
20 17
21 17
22 17
23 17
5 16
6 16
7 16
8 16
19 16
20 16
21 16
22 16
23 16
5 15
6 15
7 15
8 15
20 15
21 15
22 15
23 15
5 14
6 14
7 14
8 14
20 14
21 14
22 14
23 14
24 14
5 13
6 13
7 13
8 13
9 13
21 13
22 13
23 13
24 13
6 12
7 12
8 12
9 12
10 12
21 12
22 12
23 12
24 12
6 11
7 11
8 11
9 11
10 11
11 11
20 11
21 11
22 11
23 11
24 11
6 10
7 10
8 10
9 10
10 10
11 10
12 10
20 10
21 10
22 10
23 10
24 10
8 9
9 9
10 9
11 9
12 9
13 9
14 9
15 9
16 9
17 9
18 9
19 9
20 9
21 9
22 9
23 9
9 8
10 8
11 8
12 8
13 8
14 8
15 8
16 8
17 8
18 8
19 8
20 8
21 8
22 8
11 7
12 7
13 7
14 7
15 7
16 7
17 7
18 7
19 7
20 7
21 7
22 7
11 6
12 6
13 6
14 6
15 6
16 6
17 6
18 6
19 6
20 6
21 6
22 6
