"x" "y"
8 19
9 19
10 19
11 19
12 19
20 19
21 19
22 19
23 19
7 18
8 18
9 18
10 18
11 18
19 18
20 18
21 18
22 18
23 18
24 18
6 17
7 17
8 17
9 17
23 17
24 17
5 16
6 16
7 16
8 16
22 16
23 16
24 16
5 15
6 15
7 15
21 15
22 15
23 15
24 15
5 14
6 14
19 14
20 14
21 14
22 14
23 14
5 13
6 13
7 13
17 13
18 13
19 13
20 13
21 13
22 13
5 12
6 12
7 12
8 12
9 12
10 12
11 12
12 12
13 12
14 12
15 12
16 12
17 12
18 12
19 12
20 12
5 11
6 11
7 11
8 11
9 11
10 11
11 11
12 11
13 11
14 11
15 11
16 11
17 11
18 11
7 10
8 10
9 10
10 10
11 10
12 10
13 10
14 10
15 10
