"x" "y"
12 24
13 24
14 24
15 24
9 23
10 23
11 23
12 23
13 23
14 23
15 23
16 23
8 22
9 22
10 22
11 22
12 22
14 22
15 22
16 22
17 22
8 21
9 21
10 21
11 21
12 21
15 21
16 21
17 21
18 21
7 20
8 20
9 20
10 20
15 20
16 20
17 20
18 20
7 19
8 19
9 19
10 19
16 19
17 19
18 19
19 19
7 18
8 18
9 18
17 18
18 18
19 18
20 18
7 17
8 17
9 17
18 17
19 17
20 17
7 16
8 16
19 16
20 16
21 16
7 15
8 15
19 15
20 15
21 15
22 15
6 14
7 14
8 14
20 14
21 14
22 14
7 13
8 13
9 13
21 13
22 13
23 13
7 12
8 12
9 12
10 12
21 12
22 12
23 12
7 11
8 11
9 11
10 11
21 11
22 11
23 11
8 10
9 10
10 10
11 10
21 10
22 10
23 10
9 9
10 9
11 9
12 9
20 9
21 9
22 9
10 8
11 8
12 8
13 8
19 8
20 8
21 8
22 8
10 7
11 7
12 7
13 7
14 7
15 7
18 7
19 7
20 7
21 7
22 7
12 6
13 6
14 6
15 6
16 6
17 6
18 6
19 6
20 6
13 5
14 5
15 5
16 5
17 5
18 5
19 5
