"x" "y"
10 20
11 20
13 20
14 20
15 20
16 20
17 20
18 20
19 20
20 20
21 20
8 19
9 19
10 19
11 19
13 19
14 19
15 19
16 19
17 19
18 19
19 19
20 19
21 19
22 19
7 18
8 18
9 18
10 18
13 18
14 18
20 18
21 18
22 18
23 18
24 18
6 17
7 17
8 17
9 17
13 17
14 17
15 17
21 17
22 17
23 17
24 17
5 16
6 16
7 16
8 16
22 16
23 16
24 16
5 15
6 15
7 15
23 15
24 15
5 14
6 14
23 14
24 14
5 13
6 13
21 13
22 13
23 13
24 13
5 12
6 12
20 12
21 12
22 12
23 12
24 12
5 11
6 11
18 11
19 11
20 11
21 11
22 11
5 10
6 10
7 10
14 10
15 10
16 10
17 10
18 10
19 10
20 10
21 10
5 9
6 9
7 9
8 9
9 9
13 9
14 9
15 9
16 9
17 9
18 9
8 8
9 8
10 8
11 8
12 8
13 8
14 8
15 8
10 7
11 7
12 7
13 7
