"x" "y"
13 24
14 24
15 24
16 24
17 24
22 24
23 24
11 23
12 23
13 23
14 23
15 23
16 23
17 23
21 23
22 23
23 23
9 22
10 22
11 22
12 22
13 22
14 22
21 22
22 22
23 22
8 21
9 21
10 21
11 21
12 21
22 21
23 21
7 20
8 20
9 20
10 20
22 20
23 20
24 20
7 19
8 19
9 19
22 19
23 19
24 19
6 18
7 18
8 18
9 18
22 18
23 18
24 18
6 17
7 17
8 17
9 17
22 17
23 17
24 17
5 16
6 16
7 16
8 16
22 16
23 16
24 16
5 15
6 15
7 15
22 15
23 15
5 14
6 14
7 14
21 14
22 14
23 14
5 13
6 13
7 13
21 13
22 13
23 13
5 12
6 12
7 12
20 12
21 12
22 12
5 11
6 11
7 11
19 11
20 11
21 11
22 11
5 10
6 10
7 10
18 10
19 10
20 10
21 10
5 9
6 9
7 9
8 9
17 9
18 9
19 9
20 9
21 9
6 8
7 8
8 8
15 8
16 8
17 8
18 8
19 8
6 7
7 7
8 7
9 7
10 7
13 7
14 7
15 7
16 7
17 7
18 7
7 6
8 6
9 6
10 6
11 6
12 6
13 6
14 6
15 6
16 6
8 5
9 5
10 5
11 5
12 5
13 5
14 5
