"x" "y"
12 24
13 24
14 24
12 23
13 23
14 23
15 23
12 22
13 22
14 22
15 22
16 22
12 21
13 21
14 21
15 21
16 21
11 20
12 20
13 20
14 20
15 20
16 20
17 20
11 19
12 19
13 19
14 19
15 19
16 19
17 19
10 18
11 18
12 18
13 18
15 18
16 18
17 18
18 18
10 17
11 17
12 17
13 17
16 17
17 17
18 17
10 16
11 16
12 16
17 16
18 16
10 15
11 15
12 15
17 15
18 15
19 15
10 14
11 14
12 14
17 14
18 14
19 14
10 13
11 13
12 13
17 13
18 13
19 13
20 13
10 12
11 12
12 12
18 12
19 12
20 12
10 11
11 11
12 11
19 11
20 11
10 10
11 10
12 10
19 10
20 10
10 9
11 9
12 9
13 9
19 9
20 9
10 8
11 8
12 8
13 8
14 8
19 8
20 8
21 8
11 7
12 7
13 7
14 7
15 7
18 7
19 7
20 7
13 6
14 6
15 6
16 6
17 6
18 6
19 6
20 6
14 5
15 5
16 5
17 5
18 5
