"x" "y"
19 23
20 23
21 23
18 22
19 22
20 22
21 22
15 21
16 21
17 21
18 21
19 21
20 21
21 21
14 20
15 20
16 20
17 20
18 20
20 20
21 20
12 19
13 19
14 19
15 19
16 19
17 19
18 19
19 19
20 19
21 19
11 18
12 18
13 18
14 18
15 18
16 18
17 18
18 18
19 18
20 18
21 18
10 17
11 17
12 17
13 17
14 17
17 17
18 17
19 17
20 17
21 17
9 16
10 16
11 16
12 16
13 16
14 16
18 16
19 16
20 16
21 16
2 15
8 15
9 15
10 15
11 15
12 15
13 15
18 15
19 15
20 15
21 15
8 14
9 14
10 14
11 14
17 14
18 14
19 14
20 14
7 13
8 13
9 13
10 13
11 13
16 13
17 13
18 13
19 13
20 13
6 12
7 12
8 12
9 12
10 12
15 12
16 12
17 12
18 12
19 12
6 11
7 11
8 11
9 11
14 11
15 11
16 11
17 11
18 11
19 11
6 10
7 10
8 10
12 10
13 10
14 10
15 10
16 10
17 10
18 10
5 9
6 9
7 9
8 9
9 9
10 9
11 9
12 9
13 9
14 9
15 9
16 9
5 8
6 8
7 8
8 8
9 8
10 8
11 8
12 8
13 8
14 8
15 8
6 7
7 7
8 7
9 7
10 7
11 7
12 7
13 7
8 6
9 6
10 6
