"x" "y"
10 23
11 23
12 23
13 23
14 23
9 22
10 22
11 22
12 22
13 22
14 22
15 22
16 22
17 22
18 22
8 21
9 21
10 21
11 21
12 21
13 21
14 21
15 21
16 21
17 21
18 21
19 21
7 20
8 20
9 20
10 20
11 20
12 20
13 20
14 20
15 20
16 20
17 20
18 20
19 20
20 20
7 19
8 19
9 19
10 19
11 19
12 19
13 19
14 19
15 19
16 19
17 19
18 19
19 19
20 19
6 18
7 18
8 18
9 18
11 18
12 18
13 18
15 18
16 18
17 18
18 18
19 18
20 18
21 18
6 17
7 17
8 17
11 17
12 17
15 17
16 17
17 17
19 17
20 17
21 17
22 17
5 16
6 16
7 16
8 16
11 16
12 16
16 16
17 16
20 16
21 16
22 16
5 15
6 15
7 15
16 15
17 15
20 15
21 15
22 15
5 14
6 14
7 14
21 14
22 14
23 14
5 13
6 13
7 13
21 13
22 13
23 13
24 13
5 12
6 12
7 12
22 12
23 12
24 12
5 11
6 11
7 11
22 11
23 11
24 11
5 10
6 10
7 10
22 10
23 10
24 10
5 9
6 9
7 9
22 9
23 9
24 9
5 8
6 8
7 8
21 8
22 8
23 8
24 8
6 7
7 7
8 7
19 7
20 7
21 7
22 7
23 7
6 6
7 6
8 6
9 6
17 6
18 6
19 6
20 6
21 6
22 6
23 6
6 5
7 5
8 5
9 5
10 5
11 5
12 5
13 5
14 5
15 5
16 5
17 5
18 5
19 5
20 5
21 5
7 4
8 4
9 4
10 4
11 4
12 4
13 4
14 4
15 4
16 4
17 4
18 4
19 4
20 4
