"x" "y"
13 23
14 23
15 23
16 23
11 22
12 22
13 22
14 22
15 22
16 22
17 22
11 21
12 21
13 21
14 21
15 21
16 21
17 21
18 21
11 20
12 20
13 20
14 20
15 20
16 20
17 20
18 20
19 20
10 19
11 19
12 19
13 19
14 19
16 19
17 19
18 19
19 19
20 19
10 18
11 18
12 18
13 18
18 18
19 18
20 18
9 17
10 17
11 17
12 17
18 17
19 17
20 17
21 17
9 16
10 16
11 16
19 16
20 16
21 16
22 16
8 15
9 15
10 15
19 15
20 15
21 15
22 15
7 14
8 14
9 14
10 14
19 14
20 14
21 14
7 13
8 13
9 13
19 13
20 13
21 13
7 12
8 12
18 12
19 12
20 12
21 12
7 11
8 11
17 11
18 11
19 11
20 11
5 10
6 10
7 10
17 10
18 10
19 10
20 10
5 9
6 9
7 9
16 9
17 9
18 9
19 9
5 8
6 8
7 8
16 8
17 8
18 8
19 8
5 7
6 7
7 7
15 7
16 7
17 7
18 7
6 6
7 6
8 6
12 6
13 6
14 6
15 6
16 6
17 6
6 5
7 5
8 5
9 5
10 5
11 5
12 5
13 5
14 5
15 5
16 5
7 4
8 4
9 4
10 4
11 4
12 4
13 4
14 4
